Fecha,Hora,AGU,ATM,CEN,LDO,MIR,OBL,VAL
2008-01-23,09,,,79.000000,66.000000,28.000000,,56.000000
2008-01-23,10,,,55.000000,27.000000,29.000000,,46.000000
2008-01-23,11,,,35.000000,17.000000,10.000000,,30.000000
2008-01-23,12,,,34.000000,14.000000,6.000000,,18.000000
2008-01-23,13,,,34.000000,13.000000,6.000000,,21.000000
2008-01-23,14,,,39.000000,10.000000,6.000000,,14.000000
2008-01-23,15,,,38.000000,11.000000,3.000000,,11.000000
2008-01-23,16,,,39.000000,13.000000,2.000000,,12.000000
2008-01-23,17,,,42.000000,15.000000,3.000000,,12.000000
2008-01-23,18,,,62.000000,36.000000,15.000000,,24.000000
2008-01-23,19,,,75.000000,66.000000,29.000000,,50.000000
2008-01-23,20,,,75.000000,70.000000,22.000000,,44.000000
