Fecha,Hora,AGU,CEN,LDO,MIR,OBL,VAL
2009-01-16,09,2.000000,16.000000,43.000000,,47.000000,28.000000
2009-01-16,10,13.000000,12.000000,36.000000,,44.000000,26.000000
2009-01-16,11,24.000000,13.000000,38.000000,,42.000000,26.000000
2009-01-16,12,27.000000,15.000000,41.000000,,42.000000,28.000000
2009-01-16,13,23.000000,15.000000,34.000000,,45.000000,30.000000
2009-01-16,14,25.000000,13.000000,38.000000,,45.000000,29.000000
2009-01-16,15,25.000000,14.000000,39.000000,,44.000000,28.000000
2009-01-16,16,26.000000,13.000000,40.000000,,45.000000,28.000000
2009-01-16,17,32.000000,18.000000,45.000000,,47.000000,28.000000
2009-01-16,18,38.000000,30.000000,59.000000,,50.000000,32.000000
2009-01-16,19,40.000000,29.000000,67.000000,,51.000000,32.000000
2009-01-16,20,39.000000,26.000000,59.000000,,50.000000,35.000000
2009-01-16,21,39.000000,30.000000,50.000000,,50.000000,31.000000
